id;Ten;Diachi;Beprieng;Bontam;Netflix;Gia14h_12h;Gia1h_19h;Gia20h_9h;Gia4tieng
59;Trần Hưng Đạo;Hoàn Kiếm;TRUE;FALSE;TRUE;750000;545000;440000;340000
60;Ngõ Vạn Kiếp;Hoàn Kiếm;TRUE;FALSE;TRUE;780000;576000;460000;360000
61;Ngõ Vạn Kiếp;Hoàn Kiếm;TRUE;FALSE;TRUE;750000;545000;440000;340000
62;Lê Hồng Phong;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
63;Lạc Long Quân;Tây Hồ;TRUE;FALSE;TRUE;1050000;865000;740000;540000
64;Yên Ninh;Ba Đình;TRUE;TRUE;TRUE;800000;672000;520000;420000
65;Yết Kiêu;Hai Bà Trưng;TRUE;FALSE;TRUE;750000;545000;440000;340000
66;Yên Ninh;Ba Đình;TRUE;FALSE;TRUE;800000;625000;490000;390000
67;Nam Tràng;Ba Đình;TRUE;FALSE;TRUE;950000;785000;690000;490000
68;Nam Tràng;Ba Đình;TRUE;FALSE;TRUE;1050000;865000;740000;540000
69;Nam Tràng;Ba Đình;TRUE;TRUE;TRUE;950000;785000;690000;490000
70;Nam Tràng;Ba Đình;TRUE;TRUE;TRUE;1050000;865000;740000;540000
71;Bạch Đằng;Hoàn Kiếm;TRUE;TRUE;TRUE;800000;625000;490000;390000
72;Bạch Đằng;Hoàn Kiếm;TRUE;FALSE;TRUE;750000;545000;440000;340000
73;Lò Đúc;Hai Bà Trưng;TRUE;TRUE;FALSE;800000;625000;490000;390000
74;Phan Phù Tiên;Đống Đa;TRUE;TRUE;TRUE;800000;672000;520000;420000
75;Yên Phụ;Tây Hồ;TRUE;FALSE;TRUE;800000;625000;540000;390000
76;Yên Phụ;Tây Hồ;TRUE;FALSE;TRUE;950000;705000;590000;440000
77;Yên Phụ;Tây Hồ;TRUE;FALSE;TRUE;1050000;865000;740000;540000
78;Tôn Đức Thắng;Đống Đa;TRUE;FALSE;TRUE;780000;572000;460000;360000
79;Tôn Đức Thắng;Đống Đa;TRUE;FALSE;TRUE;780000;572000;460000;360000
80;Tôn Đức Thắng;Đống Đa;TRUE;FALSE;TRUE;750000;545000;440000;340000
81;Tân Ấp;Ba Đình;FALSE;TRUE;TRUE;800000;672000;520000;420000
82;Tân Ấp;Ba Đình;FALSE;FALSE;TRUE;780000;572000;460000;360000
83;Phạm Hồng Thái;Ba Đình;TRUE;TRUE;TRUE;850000;705000;590000;440000
84;Phạm Hồng Thái;Ba Đình;TRUE;TRUE;TRUE;850000;705000;590000;440000
85;Phạm Hồng Thái;Ba Đình;TRUE;TRUE;TRUE;950000;785000;640000;490000
86;Phan Phù Tiên;Đống Đa;TRUE;FALSE;TRUE;780000;572000;460000;360000
87;Phan Phù Tiên;Đống Đa;TRUE;TRUE;TRUE;800000;672000;520000;420000
88;Trịnh Công Sơn (nhỏ);Tây hồ;TRUE;TRUE;TRUE;690000;690000;620000;520000
89;Trịnh Công Sơn (lớn);Tây hồ;TRUE;TRUE;TRUE;870000;870000;740000;640000
90;Tân Ấp;Ba Đình;TRUE;FALSE;TRUE;800000;625000;490000;390000
91;Tân Ấp;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
92;Tân Ấp;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
93;Lê Hồng Phong;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
94;Bùi Thị Xuân;Hai Bà Trưng;TRUE;TRUE;FALSE;900000;785000;640000;490000
95;Kim Mã;Ba Đình;TRUE;TRUE;TRUE;850000;672000;520000;420000
96;Kim Mã;Ba Đình;TRUE;TRUE;TRUE;850000;672000;520000;420000
97;Kim Mã;Ba Đình;TRUE;TRUE;TRUE;850000;672000;520000;420000
98;Phan Bội Châu;Hoàn Kiếm;TRUE;FALSE;TRUE;680000;512000;420000;320000
99;Phan Bội Châu;Hoàn Kiếm;TRUE;FALSE;TRUE;800000;625000;490000;390000
100;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;750000;545000;440000;340000
101;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;750000;545000;440000;340000
102;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;750000;545000;440000;340000
103;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;800000;625000;490000;390000
104;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;800000;625000;490000;390000
105;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;750000;545000;440000;340000
106;Ngõ Quỳnh;Hai Bà Trưng;TRUE;FALSE;TRUE;750000;545000;440000;340000
107;Ngõ Quỳnh;Hai Bà Trưng;TRUE;FALSE;TRUE;750000;545000;440000;340000
108;Ngõ Quỳnh;Hai Bà Trưng;TRUE;FALSE;TRUE;750000;545000;440000;340000
109;Ngõ Quỳnh;Hai Bà Trưng;TRUE;TRUE;TRUE;800000;625000;490000;390000
110;Dã Tượng;Hoàn Kiếm;TRUE;FALSE;TRUE;850000;705000;590000;440000
111;Dã Tượng;Hoàn Kiếm;TRUE;FALSE;TRUE;850000;705000;590000;440000
112;Dã Tượng;Hoàn Kiếm;TRUE;FALSE;TRUE;950000;785000;640000;490000
113;Dã Tượng;Hoàn Kiếm;TRUE;FALSE;TRUE;850000;705000;590000;440000
114;Dã Tượng;Hoàn Kiếm;TRUE;TRUE;TRUE;950000;785000;640000;490000
115;Hàm Long;Hoàn Kiếm;TRUE;FALSE;TRUE;750000;545000;440000;340000
116;Hàm Long;Hoàn Kiếm;TRUE;FALSE;TRUE;750000;545000;440000;340000
117;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;TRUE;TRUE;540000;540000;490000;390000
118;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;490000;490000;430000;340000
119;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;TRUE;TRUE;540000;540000;490000;390000
120;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;490000;490000;430000;340000
121;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;TRUE;TRUE;540000;540000;490000;390000
122;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;FALSE;TRUE;490000;490000;430000;340000
123;Trung Kính;Thanh Xuân Cầu Giấy;TRUE;TRUE;TRUE;540000;540000;490000;390000
124;Nhật Chiêu;Tây Hồ;TRUE;TRUE;TRUE;800000;625000;490000;390000
125;Nhật Chiêu;Tây Hồ;FALSE;FALSE;TRUE;750000;545000;440000;340000
126;Nhật Chiêu;Tây Hồ;TRUE;TRUE;TRUE;800000;625000;490000;390000
127;Nhật Chiêu;Tây Hồ;TRUE;FALSE;TRUE;750000;545000;440000;340000
128;Nhật Chiêu;Tây Hồ;TRUE;TRUE;TRUE;800000;625000;490000;390000
129;Hàng Bột;Đống Đa;TRUE;FALSE;TRUE;550000;560000;450000;350000
130;Hàng Bột;Đống Đa;TRUE;FALSE;TRUE;650000;720000;550000;450000
131;Linh Lang;Ba Đình;TRUE;TRUE;TRUE;900000;752000;570000;470000
132;Linh Lang;Ba Đình;TRUE;TRUE;TRUE;900000;752000;570000;470000
133;Điện Biên Phủ;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
134;Điện Biên Phủ;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
135;Điện Biên Phủ;Ba Đình;TRUE;FALSE;TRUE;750000;545000;440000;340000
136;Điện Biên Phủ;Ba Đình;TRUE;FALSE;TRUE;700000;512000;420000;320000
137;Điện Biên Phủ;Ba Đình;TRUE;FALSE;TRUE;700000;512000;420000;320000
